CASE;QUESTNNR;MODE;SD01;SD02;SD03_01;SD06;SD07;SD08;SD09;CM01;CM02;CM03;CM04;CM05;CM06;CM07;CM08;CM09;CM10;CM11;CM12;CM13;CM14;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME_SUM;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME;type
126;TCM-Survey;interview;1;1;69;6;3;6;1;1;2;1;3;1;3;1;;2;1;1;3;1;1;;;54;56;52;45;47;254;1;0;5;5;8;1;0,68;0;1
127;TCM-Survey;interview;1;1;75;2;3;5;1;1;1;4;2;1;7;4;;1;2;3;4;1;2;;;73;70;82;20;79;324;1;0;5;5;12;5;0,61;0;1
128;TCM-Survey;interview;1;2;24;4;2;4;2;1;2;7;3;2;2;1;;1;2;3;5;2;1;;;47;33;20;21;33;154;1;0;5;5;8;1;1,13;8;1
129;TCM-Survey;interview;1;1;25;6;1;11;2;1;1;3;2;1;7;4;;2;2;1;1;1;3;;;64;34;25;17;35;175;1;0;5;5;12;4;1,05;4;1
130;TCM-Survey;interview;1;1;41;7;1;-9;2;1;2;1;3;2;3;1;;1;1;1;1;2;1;;;123;93;40;32;43;331;1;0;5;5;12;6;0,59;0;1
131;TCM-Survey;interview;1;1;47;4;2;4;1;1;2;1;2;2;7;1;;1;2;1;1;1;2;;;36;36;18;31;29;150;1;0;5;5;12;4;1,18;13;1
132;TCM-Survey;interview;1;1;20;4;6;1;2;1;2;1;2;2;8;1;;1;2;1;1;2;1;;;49;33;16;13;27;138;1;0;5;5;12;4;1,34;17;1
133;TCM-Survey;interview;1;2;65;7;3;7;2;1;2;1;3;1;2;1;;2;2;1;5;2;1;;;46;44;16;21;39;166;1;0;5;5;12;4;1,1;7;1
134;TCM-Survey;interview;1;1;63;8;1;12;1;1;1;2;1;1;2;1;;2;2;1;4;1;2;;;456;66;37;24;44;224;1;0;5;5;12;7;0,61;0;1
135;TCM-Survey;interview;1;2;20;4;1;3;1;1;1;2;2;2;3;2;;1;1;1;1;1;2;;;59;48;11;14;49;181;1;0;5;5;8;1;1,22;15;1
136;TCM-Survey;interview;1;1;78;5;3;5;1;1;2;1;3;1;3;1;;2;2;1;1;2;1;;;55;57;22;28;67;229;1;0;5;5;12;4;0,81;1;1
137;TCM-Survey;interview;1;1;56;6;1;8;2;1;2;1;7;1;1;1;;1;2;3;2;2;1;;;401;42;44;18;56;213;1;0;5;5;8;1;0,68;1;1
138;TCM-Survey;interview;1;2;29;4;1;8;1;1;2;1;3;4;1;1;;2;2;1;1;2;1;;;39;24;26;16;28;133;1;0;5;5;8;1;1,32;17;1
139;TCM-Survey;interview;1;1;33;7;1;5;2;1;1;2;3;1;1;2;;2;2;1;1;1;2;;;66;64;39;41;38;248;1;0;5;5;8;1;0,7;0;1
140;TCM-Survey;interview;1;1;76;4;3;12;2;1;1;1;3;3;7;1;;1;2;3;5;1;1;;;35;53;31;21;36;176;1;0;5;5;12;4;1;5;1
141;TCM-Survey;interview;1;1;50;7;5;12;2;2;2;1;7;7;1;1;;2;2;5;5;4;1;;;28;22;16;28;51;145;1;0;5;5;19;12;1,36;24;1
142;TCM-Survey;interview;1;2;70;5;3;12;2;1;2;1;2;2;8;9;;2;2;1;3;1;1;;;67;51;62;19;51;250;1;0;5;5;12;4;0,75;0;1
146;TCM-Survey;interview;-9;-9;;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;;-9;-9;-9;-9;-9;-9;;;29;87;11;24;70;221;1;0;5;5;96;97;1,16;20;1
147;TCM-Survey;interview;1;1;20;2;6;3;2;2;1;5;2;1;6;1;;1;1;1;1;1;2;;;385;82;30;31;53;249;1;0;5;5;8;1;0,55;0;1
148;TCM-Survey;interview;1;1;16;2;6;3;2;1;2;1;7;2;3;1;;1;2;5;5;2;1;;;44;44;19;22;33;162;1;0;5;5;12;4;1,08;6;1
149;TCM-Survey;interview;1;1;49;7;1;5;2;1;1;2;1;1;7;6;;2;2;1;2;1;2;;;234;35;31;36;52;388;1;0;5;5;12;5;0,7;3;1
151;TCM-Survey;interview;1;2;16;1;5;1;2;1;2;1;2;1;8;1;;1;2;5;5;2;1;;;1251;53;30;25;38;199;1;0;5;5;0;0;0,68;0;1
152;TCM-Survey;interview;1;1;23;4;1;3;2;1;1;1;2;1;8;1;;2;2;1;3;2;1;;;55;56;36;19;30;196;1;0;5;5;8;1;0,92;2;1
153;TCM-Survey;interview;1;1;68;5;3;7;1;1;2;1;2;1;2;1;;2;2;1;4;2;1;;;141;46;26;23;45;281;1;0;5;5;8;1;0,78;0;1
154;TCM-Survey;interview;1;1;36;7;1;11;2;1;1;2;3;3;5;3;;2;2;1;1;2;1;;;117;85;68;34;88;392;1;0;5;5;8;1;0,46;0;1
155;TCM-Survey;interview;1;1;22;4;6;3;2;1;1;2;3;1;3;2;;1;1;1;1;1;2;;;70;82;41;51;99;343;1;0;5;5;8;4;0,52;0;1
157;TCM-Survey;interview;1;1;25;-9;1;6;2;1;2;1;4;1;1;1;;2;2;1;4;2;1;;;543;27;26;22;48;176;1;0;5;5;12;8;0,85;6;1
158;TCM-Survey;interview;1;2;18;3;1;5;2;2;3;6;6;6;2;8;;2;2;2;4;3;6;;;52;48;38;14;37;189;1;0;5;5;8;3;0,98;4;1
159;TCM-Survey;interview;1;2;61;8;1;11;2;1;2;2;3;2;8;1;;1;2;5;5;2;1;;;47;123;14;59;214;279;1;0;5;5;8;3;0,74;8;1
160;TCM-Survey;interview;1;1;17;5;6;1;2;1;1;2;1;1;4;3;;1;1;1;4;1;2;;;105;39;92;22;58;316;1;0;5;5;12;5;0,68;1;1
161;TCM-Survey;interview;1;2;20;4;1;3;1;1;2;1;4;2;3;1;;2;2;1;1;2;1;;;60;76;17;18;47;218;1;0;5;5;8;1;0,94;5;1
162;TCM-Survey;interview;1;2;20;4;1;3;1;1;1;1;3;2;3;1;;1;2;1;1;1;1;;;78;39;24;22;39;202;1;0;5;5;8;1;0,92;1;1
163;TCM-Survey;interview;1;1;17;2;6;1;2;1;2;1;7;1;7;1;;1;2;1;1;2;1;;;66;41;25;23;30;185;1;0;5;5;8;1;0,97;3;1
164;TCM-Survey;interview;1;2;54;2;1;12;1;1;1;2;1;3;3;1;;2;2;5;5;2;1;;;92;46;26;17;37;218;1;0;5;5;8;1;0,91;1;1
165;TCM-Survey;interview;1;1;39;7;1;11;2;1;1;3;2;1;7;6;;1;1;1;1;1;3;;;66;84;20;25;40;235;1;0;5;5;8;1;0,84;2;1
166;TCM-Survey;interview;1;2;44;7;1;11;2;1;2;1;5;2;6;1;;2;2;1;2;2;1;;;33;39;24;39;29;164;1;0;5;5;15;7;1,09;10;1
167;TCM-Survey;interview;1;2;23;4;1;4;2;1;2;1;7;7;2;1;;2;2;1;2;2;1;;;45;35;30;22;39;171;1;0;5;5;8;1;1;4;1
168;TCM-Survey;interview;1;1;17;4;6;1;2;1;2;1;3;1;8;1;;2;2;1;1;2;1;;;183;43;21;15;26;288;1;0;5;5;12;5;1,02;8;1
169;TCM-Survey;interview;1;1;47;3;1;6;2;1;2;1;7;2;3;1;;1;1;1;1;2;1;;;36;38;20;26;31;151;1;0;5;5;4;1;1,14;10;1
170;TCM-Survey;interview;1;1;17;2;6;1;2;2;2;1;4;1;8;1;;2;2;1;1;2;1;;;74;44;22;39;20;199;1;0;5;5;8;3;1,02;9;1
171;TCM-Survey;interview;1;2;36;7;1;7;2;1;2;1;3;2;5;1;;1;1;1;2;2;1;;;322;56;23;17;40;458;1;0;5;5;8;1;0,8;2;1
172;TCM-Survey;interview;1;2;51;3;1;7;1;1;2;1;2;2;7;1;;2;2;1;1;2;1;;;70;35;20;10;57;192;1;0;5;5;8;3;1,15;14;1
173;TCM-Survey;interview;1;1;22;6;6;3;1;1;2;1;5;7;1;1;;1;2;1;3;2;1;;;489;57;26;25;56;217;1;0;5;5;8;3;0,64;0;1
174;TCM-Survey;interview;1;1;22;4;6;2;1;1;2;1;1;1;4;1;;2;2;2;1;2;1;;;78;97;108;30;73;386;1;0;5;5;12;4;0,5;0;1
176;TCM-Survey;interview;1;2;55;2;1;8;2;1;2;1;2;1;3;1;;2;2;1;4;2;1;;;50;78;31;19;30;208;1;0;5;5;15;7;0,92;3;1
177;TCM-Survey;interview;1;2;65;3;3;6;2;1;1;1;1;2;3;2;;1;2;1;1;1;1;;;49;75;27;52;156;359;1;0;5;5;8;4;0,63;1;1
178;TCM-Survey;interview;1;1;22;4;6;1;2;1;2;1;2;2;2;1;;2;2;1;4;2;1;;;43;67;36;32;41;219;1;0;5;5;4;1;0,81;2;1
179;TCM-Survey;interview;1;2;16;2;6;2;2;1;1;2;1;1;8;9;;1;2;1;1;2;1;;;72;35;23;17;45;192;1;0;5;5;4;1;0,99;4;1
180;TCM-Survey;interview;1;1;59;4;1;5;2;2;3;6;6;6;8;8;;1;2;1;1;2;1;;;31;29;15;15;27;117;1;0;5;5;12;4;1,49;24;1
181;TCM-Survey;interview;1;2;61;4;3;10;2;1;2;1;1;1;6;1;;2;2;3;2;2;1;;;112;95;48;42;87;384;1;0;5;5;8;1;0,46;0;1
182;TCM-Survey;interview;1;1;60;2;1;8;2;1;1;3;1;1;5;1;;2;1;1;5;1;3;;;41;47;28;14;26;156;1;0;5;5;12;5;1,17;10;1
183;TCM-Survey;interview;1;2;38;7;1;9;2;1;1;1;3;1;4;1;;2;1;1;5;2;1;;;34;34;20;16;26;130;1;0;5;5;12;4;1,33;16;1
184;TCM-Survey;interview;1;2;15;2;6;2;1;1;2;1;2;1;2;1;;1;2;1;1;2;1;;;33;41;17;16;33;140;1;0;5;5;8;1;1,27;14;1
185;TCM-Survey;interview;1;1;71;3;3;4;2;1;1;1;3;2;7;1;;1;2;1;1;1;1;;;45;55;18;54;64;236;1;0;5;5;12;4;0,85;5;1
186;TCM-Survey;interview;1;1;15;1;5;1;2;1;1;1;1;1;2;1;;1;2;1;1;2;1;;;34;29;20;23;26;132;1;0;5;5;0;0;1,3;17;1
187;TCM-Survey;interview;1;2;80;3;3;6;2;2;3;6;6;6;2;8;;2;2;2;5;2;1;;;40;33;41;16;38;168;1;0;5;5;4;1;1,08;8;1
188;TCM-Survey;interview;1;1;20;4;6;1;2;1;2;1;7;1;4;1;;1;2;3;5;2;1;;;41;47;48;26;38;200;1;0;5;5;8;1;0,88;3;1
189;TCM-Survey;interview;1;1;51;2;1;4;2;1;2;1;1;1;4;1;;2;1;1;2;1;3;;;46;130;47;18;75;316;1;0;5;5;15;7;0,71;2;1
191;TCM-Survey;interview;1;1;59;7;1;9;2;1;1;4;1;1;2;6;;1;1;2;5;1;1;;;328;49;50;26;38;491;1;0;5;5;4;1;0,64;0;1
192;TCM-Survey;interview;1;2;60;8;6;12;2;1;1;1;5;3;5;1;;2;2;1;1;1;1;;;41;34;27;25;43;170;1;0;5;5;16;8;1,01;6;1
194;TCM-Survey;interview;1;2;58;7;1;11;1;1;1;1;4;3;4;1;;1;2;1;2;1;2;;;44;24;28;13;36;145;1;0;5;5;4;1;1,27;15;1
195;TCM-Survey;interview;1;1;26;4;6;1;2;2;2;1;5;5;1;1;;2;2;1;2;2;1;;;208;35;20;28;23;314;1;0;5;5;8;3;0,99;10;1
196;TCM-Survey;interview;1;2;33;6;1;12;2;2;2;1;5;2;1;1;;2;2;1;3;2;1;;;43;32;23;26;28;152;1;0;5;5;8;1;1,13;9;1
197;TCM-Survey;interview;1;1;19;4;2;5;2;1;2;1;2;1;1;1;;1;1;1;1;2;1;;;30;36;23;26;35;150;1;0;5;5;8;1;1,16;11;1
198;TCM-Survey;interview;1;1;24;7;1;3;1;1;1;2;2;4;3;2;;2;2;1;1;2;1;;;359;36;40;23;26;178;1;0;5;5;8;1;0,84;6;1
199;TCM-Survey;interview;1;2;18;5;6;4;2;2;3;6;6;2;3;1;;2;2;1;1;2;1;;;42;50;17;16;51;176;1;0;5;5;8;1;1,09;9;1
201;TCM-Survey;interview;1;2;53;4;1;11;2;1;1;1;5;2;1;1;;2;2;1;2;1;1;;;48;31;32;22;42;175;1;0;5;5;8;4;1;5;1
202;TCM-Survey;interview;1;1;14;1;6;1;2;1;1;5;2;2;3;2;;1;2;1;1;2;1;;;76;78;17;24;29;224;1;0;5;5;8;3;0,94;7;1
203;TCM-Survey;interview;1;1;82;3;3;7;1;1;2;1;3;3;5;1;;2;2;1;5;2;1;;;61;41;20;53;81;256;1;0;5;5;12;4;0,79;3;1
204;TCM-Survey;interview;1;1;27;4;1;5;1;1;2;1;3;3;5;1;;2;2;1;2;2;1;;;56;64;31;23;66;240;1;0;5;5;8;1;0,76;0;1
205;TCM-Survey;interview;1;2;21;4;1;4;2;1;2;1;3;1;1;1;;2;2;3;2;2;1;;;402;23;34;29;41;180;1;0;5;5;8;3;0,86;9;1
206;TCM-Survey;interview;1;1;57;4;1;12;2;1;2;1;3;3;1;1;;2;2;1;1;2;1;;;85;51;44;30;33;243;1;0;5;5;4;1;0,75;1;1
208;TCM-Survey;interview;1;2;43;3;2;4;1;1;2;1;3;1;7;3;;1;2;1;5;2;1;;;102;113;19;12;45;291;1;0;5;5;8;1;0,91;8;1
209;TCM-Survey;interview;1;2;22;4;6;3;2;1;2;1;5;4;6;1;;2;2;1;4;2;1;;;427;33;23;22;37;168;1;0;5;5;0;0;0,87;4;1
210;TCM-Survey;interview;1;2;30;7;1;5;2;1;2;1;5;4;1;1;;2;2;1;2;2;1;;;39;28;20;16;37;140;1;0;5;5;16;8;1,26;13;1
211;TCM-Survey;interview;1;2;28;4;1;5;1;1;2;1;2;2;3;1;;1;2;1;4;2;1;;;45;44;21;17;37;164;1;0;5;5;12;4;1,08;4;1
212;TCM-Survey;interview;1;2;15;1;5;1;2;1;2;1;2;7;3;1;;1;2;5;5;2;1;;;27;36;16;16;19;114;1;0;5;5;8;1;1,55;28;1
213;TCM-Survey;interview;1;1;72;4;3;8;2;1;2;1;7;2;1;1;;1;1;1;1;2;1;;;77;34;20;27;29;187;1;0;5;5;12;4;1,03;7;1
214;TCM-Survey;interview;1;1;20;4;1;4;2;2;2;1;3;3;2;1;;2;2;1;3;2;1;;;67;42;32;25;61;227;1;0;5;5;8;1;0,79;0;1
215;TCM-Survey;interview;1;1;27;5;1;5;2;1;2;1;2;2;4;1;;1;2;3;3;2;1;;;30;25;28;11;33;127;1;0;5;5;12;4;1,44;23;1
216;TCM-Survey;interview;1;1;36;7;1;8;2;1;1;2;3;1;7;4;;1;2;1;1;2;1;;;47;70;22;10;44;193;1;0;5;5;12;5;1,11;11;1
217;TCM-Survey;interview;1;1;36;7;1;12;2;1;2;1;2;2;4;1;;1;2;1;1;1;1;;;127;46;41;34;37;285;1;0;5;5;16;8;0,7;0;1
218;TCM-Survey;interview;1;1;70;3;3;4;1;1;2;1;2;1;7;1;;1;2;1;2;2;1;;;45;66;30;29;44;214;1;0;5;5;8;1;0,82;2;1
219;TCM-Survey;interview;1;2;33;7;1;9;2;1;2;1;4;2;7;1;;1;2;1;2;2;1;;;309;45;21;24;47;446;1;0;5;5;8;1;0,77;1;1
220;TCM-Survey;interview;1;1;35;8;1;8;1;1;1;2;2;3;7;7;;1;2;1;2;1;2;;;99;52;30;14;29;224;1;0;5;5;8;1;0,96;6;1
221;TCM-Survey;interview;1;2;63;7;1;11;1;1;2;1;2;2;7;1;;1;2;1;1;1;1;;;57;48;19;19;35;178;1;0;5;5;12;4;1,03;3;1
223;TCM-Survey;interview;1;1;26;5;1;12;2;1;1;1;2;2;3;1;;2;2;1;2;2;1;;;71;37;21;31;29;189;1;0;5;5;8;1;0,99;6;1
224;TCM-Survey;interview;1;1;19;-9;-9;-9;-9;1;1;2;3;2;5;3;;2;1;3;5;1;2;;;38;63;29;16;2;148;1;0;5;5;24;19;1,42;106;1
225;TCM-Survey;interview;1;1;50;7;1;10;2;1;2;1;5;1;7;1;;2;2;1;1;1;3;;;174;63;25;29;28;319;1;0;5;5;0;0;0,78;3;1
226;TCM-Survey;interview;1;1;33;7;1;12;1;1;2;1;6;2;6;1;;1;2;1;1;2;1;;;47;25;17;35;22;146;1;0;5;5;16;8;1,3;19;1
227;TCM-Survey;interview;1;2;42;7;1;12;2;1;2;1;3;1;5;1;;2;2;1;1;1;2;;;51;72;38;15;149;325;1;0;5;5;8;1;0,76;3;1
228;TCM-Survey;interview;1;2;29;4;1;7;1;1;2;1;1;1;1;1;;1;2;1;3;2;1;;;550;17;19;15;28;132;1;0;5;5;8;3;1,3;24;1
229;TCM-Survey;interview;1;1;35;7;1;7;2;1;1;5;2;1;7;4;;1;2;1;1;1;2;;;106;62;22;14;61;265;1;0;5;5;8;1;0,85;4;1
230;TCM-Survey;interview;1;1;30;4;1;6;2;1;1;2;2;1;7;4;;1;1;1;1;1;2;;;46;41;15;20;24;146;1;0;5;5;8;1;1,26;13;1
231;TCM-Survey;interview;1;2;43;6;1;12;2;1;2;1;5;2;3;1;;2;2;1;1;2;1;;;48;46;14;26;12;146;1;0;5;5;12;4;1,5;28;1
232;TCM-Survey;interview;1;2;52;6;1;4;2;1;2;1;2;1;7;1;;2;2;2;4;2;1;;;143;114;213;24;96;401;1;0;5;5;4;0;0,41;0;1
233;TCM-Survey;interview;1;2;61;3;5;5;1;1;2;1;1;1;7;1;;2;2;1;2;2;1;;;76;47;27;21;52;223;1;0;5;5;8;1;0,82;0;1
234;TCM-Survey;interview;1;2;20;4;1;3;1;2;2;1;4;3;8;9;;2;2;1;2;2;1;;;86;85;28;24;27;250;1;0;5;5;8;1;0,82;3;1
235;TCM-Survey;interview;1;1;67;3;3;12;2;1;2;1;1;1;8;1;;2;2;1;1;2;1;;;41;43;21;20;25;150;1;0;5;5;16;8;1,17;9;1
236;TCM-Survey;interview;1;1;31;6;2;1;2;1;2;1;2;1;8;1;;2;2;1;2;1;1;;;459;34;26;36;30;179;1;0;5;5;8;1;0,81;5;1
237;TCM-Survey;interview;1;1;17;2;6;2;2;1;2;1;7;7;2;9;;1;2;1;2;2;1;;;36;42;31;12;49;170;1;0;5;5;8;3;1,12;11;1
238;TCM-Survey;interview;1;2;20;2;1;5;1;1;1;2;1;1;2;1;;1;2;1;1;2;1;;;603;64;24;33;58;232;1;0;5;5;8;1;0,59;0;1
239;TCM-Survey;interview;1;2;39;2;2;4;2;1;1;2;3;1;1;1;;2;2;1;5;1;4;;;1994;77;53;45;83;311;1;0;5;5;0;0;0,38;0;1
240;TCM-Survey;interview;1;1;52;7;1;11;2;1;2;1;3;4;4;1;;2;2;1;1;1;2;;;47;32;27;24;39;169;1;0;5;5;12;4;1,02;5;1
241;TCM-Survey;interview;1;1;17;5;1;3;1;1;2;1;3;1;3;2;;1;1;1;4;2;1;;;38;59;25;14;68;204;1;0;5;5;8;1;1;8;1
242;TCM-Survey;interview;1;2;56;7;1;10;1;1;1;2;2;1;6;5;;1;2;1;1;1;2;;;33;43;16;14;50;156;1;0;5;5;8;1;1,24;15;1
244;TCM-Survey;interview;1;1;32;2;2;5;1;1;1;3;1;1;7;4;;1;1;1;2;1;3;;;85;61;37;20;81;284;1;0;5;5;8;1;0,68;0;1
245;TCM-Survey;interview;1;1;21;4;1;3;2;1;2;1;3;1;8;1;;1;2;1;1;2;1;;;390;52;16;19;27;167;1;0;5;5;8;3;0,96;8;1
246;TCM-Survey;interview;1;1;24;3;6;4;1;1;2;1;4;1;1;1;;1;2;1;1;2;1;;;46;31;14;16;44;151;1;0;5;5;8;1;1,26;15;1
247;TCM-Survey;interview;1;1;35;7;1;12;2;1;1;1;1;1;6;1;;1;2;1;2;2;1;;;55;91;34;19;38;237;1;0;5;5;8;1;0,82;0;1
248;TCM-Survey;interview;1;1;66;7;3;7;2;1;1;1;2;1;3;1;;2;2;1;2;1;1;;;66;93;36;20;83;298;1;0;5;5;8;3;0,67;0;1
249;TCM-Survey;interview;1;2;36;7;1;12;2;1;2;1;7;2;6;1;;1;2;1;2;2;1;;;39;38;15;13;27;132;1;0;5;5;12;4;1,38;19;1
250;TCM-Survey;interview;1;2;19;5;6;1;2;1;2;1;3;1;1;1;;1;2;1;4;2;1;;;109;38;47;44;31;269;1;0;5;5;16;8;0,75;3;1
251;TCM-Survey;interview;1;2;43;7;2;12;2;1;2;1;5;1;2;1;;1;1;1;1;2;1;;;68;61;40;22;47;238;1;0;5;5;8;1;0,75;0;1
252;TCM-Survey;interview;1;1;24;4;1;4;2;1;2;1;4;4;4;1;;2;2;1;1;2;1;;;66;47;19;16;41;189;1;0;5;5;8;1;1,01;5;1
253;TCM-Survey;interview;1;2;29;4;1;7;2;2;3;6;5;4;1;8;;2;2;1;1;2;1;;;102;48;46;32;42;270;1;0;5;5;0;0;0,68;0;1
254;TCM-Survey;interview;1;2;27;7;1;5;2;1;2;1;3;1;6;1;;2;2;1;1;2;1;;;30;25;18;11;41;125;1;0;5;5;12;4;1,49;26;1
256;TCM-Survey;interview;1;1;88;4;3;7;2;1;2;1;2;7;7;1;;1;2;1;1;2;1;;;60;55;22;18;44;199;1;0;5;5;8;1;0,93;1;1
257;TCM-Survey;interview;1;1;37;7;1;12;2;1;1;1;1;1;7;1;;1;2;1;3;2;1;;;56;68;36;21;25;206;1;0;5;5;4;1;0,92;4;1
258;TCM-Survey;interview;1;2;68;7;3;9;1;1;2;1;2;1;5;1;;2;2;1;5;2;1;;;49;99;18;17;31;214;1;0;5;5;12;4;1,03;7;1
259;TCM-Survey;interview;1;1;70;3;3;5;2;1;2;1;4;2;6;1;;2;2;3;2;2;1;;;60;45;49;19;27;200;1;0;5;5;12;4;0,94;3;1
260;TCM-Survey;interview;1;1;19;4;1;12;2;2;2;1;2;1;4;1;;2;2;1;1;1;2;;;42;37;29;24;20;152;1;0;5;5;16;8;1,17;13;1
261;TCM-Survey;interview;1;1;69;8;3;4;1;1;2;1;5;2;1;1;;2;2;5;5;2;1;;;48;30;46;53;33;210;1;0;5;5;12;4;0,91;7;1
